"wallet_address","token_address","gross_profit","realized_profit","realized_profit_percent","unrealized_profit","unrealized_profit_percent","win_rate","wins","losses","trade_volume","trades","avg_trade_size","is_bot"
"5abNfEtL3JjivyftmL6aRqpuWH9E12k8CWA8ohaZX2GM","5ewl8ch5tsebgxe3dvn6mul3jrpkfyx9acn5u3ukzxci",9256.80,0.28,0.08,13.83,3.74,100.00,2,0,9600.00,28,344.00,0
"5AWqxAUvPfM4xm58apJG6deCz4bWJor7igRE1fJNM5qx",dgj5dhv3y92vve6qmqmrdtvynbqdstzaituwd42e8fcv,27640.00,-70.53,-0.08,3.82,0.00,44.44,24,30,197000.00,665,296.00,0
"5b1uEaGWNwZjx7WKncjCwdWa17amC8GzRHj43nWcvwgc",gc1utsxrrlauwby3uwsemjuxhjmjhhv1sxj9a1jhvyxp,43068.00,-11282.00,-4.04,75478.00,27.02,25.42,30,88,565000.00,308,1800.00,0
"5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG",bysqk5wcufsec5gomgwbg6acpsyayihgf4vvt2lp48ex,168536.00,-54824.00,-5.39,-565.65,-0.06,34.56,103,195,2200000.00,4400,495.00,1
"5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X",bysqk5wcufsec5gomgwbg6acpsyayihgf4vvt2lp48ex,322000.00,-29566.00,-3.47,-6.91,0.00,26.71,43,118,2000000.00,2100,958.00,0
"5BtksVhbhswbnmuMHCaSJ3yf4PWY2XzN3P2vsdUKV7Md","6wftd8otqyx98jokh7fw816vdwzb2cud8tclyjpfzggd",6013.20,-319.59,-21.39,0.00,0.00,0.00,0,5,9000.00,37,243.00,0
"5BZ5RqXVaPNQvjVn45NVkoVmJomLqyUXmXfGpYDAqf2R","1ptwwxev41ssw6nvwwe4aqkfrn6j3jwe7andlehdsfm",12514.00,3384.80,2.73,141.07,0.11,44.83,39,48,260000.00,858,303.00,0
"5CWLXa3rgCYepuSVc65zedgHsvXBthVuon1Wn8e5TqFN",lat4msxv2gpyjqsucbz7xmv1g7deotoxvbf4pevl6be,18829.00,0.00,0.00,0.00,0.00,0.00,0,0,19000.00,25,753.00,0
"5DRPDKByEvKFZ36GKg2weHr8tdMqKW7gYxMxv5NBP4Z5",gwpljamb5zxrgbtsynww7v3p1pamryzsfapftdaeswgc,17720.00,-903.14,-5.30,472.40,2.77,0.00,0,3,49000.00,8,6200.00,0
"5e7u41Ykt3WgnbJaQutMX9b7LZM4qh9Qsd5Y7RTsP5t4","3mgxf9vvdd82e75bovuajps1wymjozcao4mb6zpqdjnv",103002.00,19015.00,141.44,0.00,0.00,100.00,1,0,130000.00,15,8700.00,0
"5EerhKzLDD3MpnKjmLDxsqMHJVFPj9W1kZadHJgC7SqD","9mxxzyyszfbu6cvn57hkrrgkxfhgk5pytlbqwhzrcczt",-26472.00,-36966.00,-29.26,-3.41,0.00,23.53,8,26,226000.00,217,1000.00,0
"5FB9nX1MpvZ69T5JTFgB7BUes7UtLm7zoAU35gmYeobS",cpsmssqi3p9vmvnqxrdwvbsbcwyuhbggncrw7morbq3g,37812.00,0.00,0.00,0.00,0.00,0.00,0,0,38000.00,2,19000.00,0
"5FX25yJFoAvBC5PUU1fZiqjF7fbePFsQswDNTdNev5gq",bmsze6tkzyskys1patpkryyazgdxwfxdia4buvlg9agy,48114.00,-3375.50,-4.89,0.00,0.00,50.00,1,1,186000.00,19,9800.00,0
"5fYgdZmP1zBjaXumtnozJPsXDMGDpGxjRbN1tWptc8bw",a143tyyy9h9mzksvbkbfqvbik3rdurpfbdlttfswnvua,2897.30,2897.30,30.49,42.42,0.45,75.00,3,1,22000.00,21,1000.00,0
"5GkpXmvd3XZ8SJov4XSArZn9LoZ9nZy8GcvnRrarns3R",et36eupe6vkdbewty5c6pqfz3wvmlxgfbbzpephvcqcd,2770.00,262.15,1.02,-3337.70,-13.03,33.33,3,6,34000.00,27,1200.00,0
"5gQpscMJEE2UFFiYWkfTWn1AFdSCPfjHRkbV58TFCmqe",gc1utsxrrlauwby3uwsemjuxhjmjhhv1sxj9a1jhvyxp,12223.00,0.00,0.00,0.00,0.00,0.00,0,0,12000.00,1,12000.00,0
